author,title,container-title,publisher,editor,issued
C. Donovan and M. P. Flynn,A Digital 6-bit ADC in 0:25m CMOS,IEEE Journal of Solid State Circuits,,,2002
,C. Sandner et al.; A 6-bit 1.2Gs/s Low-Power Flash ADC in 0.13µm Digital CMOS,IEEE Journal of Solid State Circuits,,,2005
L. Wei et al.,"Design and Optimization of dual-threshold circuits for Low-Voltage, Low-Power Applications",IEEE Transactions on VLSI Systems 7,,,1999
Liqiong Wei et al.,Design and Opimization of Dual-Threshold Circuits for Low-Voltage Low-Power Applications,IEEE Transactions on VLSI Systems 7,,,1999
M. Orhansky et al.,Impact of spatial intrachip gate length variability on the performance of high-speed digital circuits,IEEE Transactions on Computer-Aided Design,,,2002
R. M. Philipp et al.,Linear current-mode active pixel sensor,IEEE Journal of Solid State Circuits,,,2007
S. Mutoh et al.,A 1-V multithreshold-voltage CMOS digital signal processor for mobile phone application,IEEE Journal of Solid State Circuits,,,1996
Saibal Mukhopadhyay et al.,Gate Leakage Reduction for Scaled Devices Using Transistor Stacking,IEEE Transactions on VLSI Systems,,,2003
T. Kurado et al.,"A 0.9-V, 150MHz, 10-mW, 4mm2, 2-D Discrete Cosine Transform Core Processor with Variable Threshold (V ) Scheme",IEEE Journal of Solid State Circuits,,,1996
,Design of Parasitic and Process Variation Aware RF Circuits: A Nano-CMOS VCO Case Study,IEEE Transactions on Very Large Scale Integration Systems,,,2009
"A. Hajimiri, S. Limotyrakis, and T. H. Lee",1999; Jitter and Phase Noise in Ring Oscillators,IEEE Journal of Solid State Circuits,,,
F. Ishihara and F. Sheikh,Level Conversion for Dual Supply Systems,IEEE Transactions on VLSI Systems,,,2004
M. Johnson and K. Roy,Datapath scheduling with multiple supply voltages and level converters,ACM Transactions on Design Automation of Electronic Systems,,,1997
E. Kougianos and S. P. Mohanty,Impact of Gate-Oxide Tunneling on Mixed-Signal Design and Simulation of a Nano-CMOS VCO,Elsevier Microelectronics Journal,,,2009
,Dual-Threshold CAD Framework for Subthreshold Leakage Power Aware FPGAs,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,,,2007
K. Kwok and C. H. Luong,Ultra-low-Voltage high-performance CMOS VCOs using transformer feedback,IEEE Journal of Solid State Circuits,,,2005
P. Larsson,A 2–1600–MHz Clock Recovery PLL with Low-Vdd Capability,IEEE Journal of Solid State Circuits,,,1999
"D. Lee, D. Blaauw, and D. Sylvester",Gate Oxide Leakage Current Analysis and Reduction for VLSI Circuits,IEEE Transactions on VLSI Systems,,,2004
J. McNeill,Jitter in Ring Oscillators,IEEE Journal of Solid State Circuits,,,1997
"M. J. M. Pelgrom, AAD C. J. Duinmaijer, and A. P. G. Welbers",Matching Properties of MOS Transistors,IEEE Journal of Solid State Circuits,,,1989
R.Dehghani and S.M. Atarodi,Optimised analytic designed 2.5GHz CMOS VCO,IEE Electronic Letters,,,2003
K. Salama and A. E. Gamal,Analysis of active pixel sensor readout circuit,IEEE Transactions on Circuits and Systems-I: Fundamental Theory and Applications,,,2003
"H. Sanchez, J. Siegel, C. Nicoletta, J. P. Nissen, and J. Alvarez","A Versatile 3.3/2.5/1.8-V CMOS I/O Driver Built in a 0.2-um, 3.5-nm Tox , 1.8-V CMOS Technology",IEEE Journal of Solid State Circuits,,,1999
P. C. S. Scholtens and M. Vertregt,A 6b 1.6 G sample/s Flash ADC in 0:18¬µm CMOS using Averaging Termination,IEEE Journal of Solid State Circuits,,,2002
"B. S. Song, P. L. Rakers, and S. F. Gillig",A 1-V 6-b 50-M Samples/s Current-Interpolating CMOS ADC,IEEE Journal of Solid State Circuits,,,2000
N. Srisantana and K. Roy,Low Power Design using Multiple Channel Lengths and Oxide Thicknesses,IEEE Design and Test of Computers,,,2004
"H. S. Weng, R. T. Chang, E. Crabbe, and P. Agnello","CMOS active pixel image sensors fabricated using a 1.8V , 0.25µm CMOS technology",IEEE Transactions on Electron Devices,,,1998
H. Wong,CMOS image sensors-recent advances and device scaling considerations,International Electron Devices Meeting Technical Digest,,,1997 December
"C. Xu, W. H. Ki, and M. Chan",A low-voltage CMOS complementary active pixel sensor (CAPS) fabricated using a 0.25µm CMOS technology,IEEE Electron Device Letters,,,2002
"J. Yoo, K. Choi, and D. Lee",Comparator Generation and Selection for Highly Linear CMOS Flash Analog-to-Digital Converter,Journal of Analog Integrated Circuits and Signal Processing,,,2003
M. Boileau and S. Wang,Non-zero degree maps and surface bundles over S1,J. Differential Geom.,,,
S. Boyer and X. Zhang,A proof of the finite filling conjecture,J. Differential Geom.,,,2001
S. Boyer and X. Zhang,Every nontrivial knot in S3 has nontrivial A-polynomial,Proc. Amer. Math. Soc.,,,2005
"D. Cooper, M. Culler, H. Gillet, D. D. Long, and P. B. Shalen",Plane curves associated to character varieties of 3-manifolds,Invent. Math,,,1994
D. Cooper and D. D. Long,Roots of unity and the character variety of a knot complement,J. Austral. Math. Soc. Ser. A,,,1993
D. Cooper and D. D. Long,Remarks on the A-polynomial of a knot.,J. Knot Theory Ramifications,,,1996
"M. Culler, C. McA. Gordon, J. Luecke, and P. B. Shalen",Dehn surgery on knots.,Ann. of Math.,,,1987
M. Culler and P. B. Shalen,Varieties of group representations and split-tings of 3-manifolds.,Ann. of Math.,,,1983
N. Dunfield,Examples of non-trivial roots of unity at ideal points of hyperbolic 3-manifolds.,Topology,,,1999
N. Dunfield and S. Garoufalidis,Non-triviality of the A-polynomial for knots in S3,Algebr. Geom. Topol.,,,2004
A. Hatcher,On the boundary curves of incompressible surfaces.,Pacific J. Math.,,,1982
A. Hatcher and U. Oertel,Boundary slopes for Montesinos knots.,Topology,,,1989
J. Morgan and P. B. Shalen,"Valuations, trees, and degenerations of hyperbolic structures.",I. Ann. of Math.,,,1984
R. Myers,"Simple knots in compact, orientable 3-manifolds.",Trans. Amer. Math. Soc.,,,1982
R.Myers,Excellent1-manifoldsincompact3-manifolds.,Topology Appl.,,,1993
U. Oertel,Closed incompressible surfaces in complements of star links.,Pacific J. Math.,,,1984
T. Ohtsuki,Ideal points and incompressible surfaces in two-bridge knot complements.,J. Math. Soc. Japan,,,1994
S. Schanuel and X. Zhang,Detection of essential surfaces in 3-manifolds with SL -trees,Math. Ann.,,,2001
P. B. Shalen,Three-manifold topology and the tree for PSL : the Smith conjecture and beyond.,"Algebra, K-theory, groups, and education",Amer. Math. Soc.,,1997
W. P. Thurston,Three-dimensional geometry and topology,Princeton Mathematical Series.,Princeton University Press,Silvio Levy,1997
S. Tillmann,On the Kinoshita-Terasaka knot and generalised Conway mutation.,J. Knot Theory Ramifications,,,2000
"Bartlett, M. S.",An inverse matrix adjustment arising in discriminant analysis,The Annals of Mathematical Statistics,,,1951
"Betts, J. T.",Solving the nonlinear least squares problem: Application of a general method,Journal of Optimization Theory and Applications,,,April 1976
"Bonkovic, M., Hace, A., and Jezernik, K.",Population-based uncalibrated visual servoing,"Transactions on Mechatronics, IEEE/ASME",,,2008
"Broyden, C. G.",Quasi-newton methods and their application to function minimization,Mathematics of Computation,,,1967
"Broyden, C. G., Dennis, J. E., and More, J. J.","On the local and super-linear convergence of quasi-newton methods,",IMA Journal of Applied Mathematics,,,1973
"Byrd, R. H., Nocedal, J., and Yuan, Y. X.",Global convergence of a class of quasi-newton methods on convex problems,SIAM Journal on Numerical Analysis,,,1987
"Conn, A. R., Gould, N. I. M., and Toint, P. L.",Trust-Region Methods.,"MPS-SIAM Series on Optimization, Philadelphia: SIAM",,,2000
"Corke, P. I.",A robotics toolbox for matlab,IEEE Robotics and Automation Magazine,,,1996
"Corke, P.",Machine vision toolbox,IEEE Robotics and Automation Magazine,,,Nov. 2005
"Davidon, W. C",Variance algorithm for minimization,The Computer Journal,,,1968
"Davidon, W. C.",Optimally conditioned optimization algorithms without line searches,Mathematical Programming,,,1975
"Dementhon, D. and Davis, L.",Model-based object pose in 25 lines of code,International Journal of Computer Vision,,,June 1995
"Dennis, Jr., J. E., Gay, D. M., and Welsch, R. E.",An adaptive non-linear least-squares algorithm,ACM Transactions on Mathematical Software (TOMS),,,September 1981a
"Dennis, Jr., J. E. and More, J. J.",A characterization of superlinear convergence and its application to quasi-newton methods,Mathematics of Computation,,,April 1974
"Dennis, Jr., J. E. and Schnabel, R. B.",Numerical methods for unconstrained optimization and nonlinear equation (classics in applied mathematics),SIAM,,,1996
"Dennis, J. E., J., Gay, D. M., and Welsch, R. E.","Algorithm 573: Nl2sol - anadaptivenonlinearleast-squaresalgorithm,",ACM Transactions on Mathematical Software (TOMS),,,September 1981b
"Dixon, L. C. W.",Variable metric algorithms: Necessary and suffcient conditions for identical behavior on nonquadratic functions,Journal of Optimization Theory and Applications,,,July 1972
"Gill, P. E. and Murray, W.","Numerically stable methods for quadratic programming,",Mathematical Programming,,,1978
"Gill, P. E., Michael, and Leonard, M. W.",Reduced-hessian quasi-newton methods for unconstrained optimization,SIAM Journal on Optimization,,,2001
"Griewank, A. and Toint, P. L.",Local convergence analysis of partitioned quasi-newton updates,Numerische Mathematik,,,October 1982
"Hao, M., Deuflhard, P., Sun, Z., and Fujii, M.",Model-free uncalibrated visual servoing using recursive least squares,Journal of Computers,,,November 2008
"Hosoda, K., Igarashi, K., and Asada, M.",Adaptive hybrid control for visual servoing and force servoing in an unknown environment,"IEEE Robotics and Automation Magazine,",,,1998
"Hutchinson, S.,Hager, G. D., and Corke, P. I.",A tutorial on visual servo control,IEEE Transactions on Robotics and Automation,,,October 1996
"Kim, G. W. and Lee, B. H.",Target tracking using the effcient estimation of the image jacobian with large residual,Robotica,,,2006
"Leung, S.-H. and So, C. F.",Gradient-based variable forgetting factor rls algorithm in time-varying environments,IEEE Transactions on Signal Process-ing,,,2005
"Levenberg, K.",A method for the solution of certain non-linear problems in least squares,The Quarterly of Applied Mathematics,,,1944
"Marquardt, D.","An algorithm for least-squares estimation of nonlinear parameters,",SIAM Journal on Applied Mathematics,,,1963
"More, J. J.",The levenberg-marquardt algorithm: Implementation and theory,Lecture Notes in Mathematics,,,1978
"Nazareth, L.","Some recent approaches to solving large residual nonlinear least squares problems,",SIAM Review,,,1980
"Oren, S. S.",Self-scaling variable metric algorithms without line search for unconstrained minimization,Mathematics of Computation,,,1973
"Paleologu, C., Benesty, J., and Ciochina, S.","A robust variable for-getting factor recursive least-squares algorithm for system identification,",IEEE Signal Processing Letters,,,2008
"Park, D. J. and Jun, B. E.",Self-perturbing rls algorithm with fast tracking capability,Electronics Letters,,,March 12 1992
"Park, D. J., Jun, B. E., and Kim, J. H.","Fast tracking rls algorithm using novel variable forgetting factor with unity zone,",Electronics Letters,,,1991
"Pearson, J.",Variable metric methods of minimization,Computer Journal,,,1969
"Piepmeier, J. A.",Experimental results for uncalibrated eye-in-hand visual servoing,IEEE Southeastern Symposium on System Theory,,,2003
"Piepmeier, J. A. and Lipkin, H.",Uncalibrated eye-in-hand visual servoing,The International Journal of Robotics Research,,,2003
"Piepmeier, J. A., McMurray, G. V., and Lipkin, H.",Uncalibrated dynamic visual servoing,IEEE Transactions on Robotics and Automation,,,Feb. 2004
"Ralis, S. J., B., V., and Nelson, B. J.",Micropositioning of a weekly calibrated microassembly system using coarse-to-fine visual servoing strategies,IEEE Transactions on Electronics Packing Manufacturing,,,Apr 2000
"Ritter, K.",Local and superlinear convergence of a class of variable metric methods,Computing,,,1979
"Sherman, J. and Morrison, W. J.",Adjustment of an inverse matrix corresponding to a change in one element of a given matrix,The Annals of Mathematical Statistics,,,1950
"Slock, D. T. M. and Kailath, T.",Fast transversal filters with data sequence weighting,"IEEE Transactions on Acoustics, Speech and Signal Processing",,,1989
"So, C. F., Ng, S. C., and Leung, S. H.",Gradient based variable forgetting factor rls algorithm,Signal Processing,,,2003
"Song, S., Lim, J.-S., Baek, S., and Sung, K.-M.",Gauss newton variable forgetting factor recursive least squares for time varying parameter tracking,Electronics Letters,,,2000
"Stachurski, A.","Superlinear convergence of broyden's bounded theta-class of methods,",Mathematical Programming,,,December 1981
"Stoer, J.",On the convergence rate of imperfect minimization algorithms in broyden's beta-class,Mathematical Programming,,,1975
"Weiss, L. E., Sanderson, A. C., and Neuman, C. P.",Dynamic sensor-based control of robots with visual feedback,IEEE Journal of Robotics and Automation,,,October 1987
"Wilson, W. J., Hulls, C. C. W., and Bell, G. S.",Relative end-effector control using cartesian position-based visual servoing,IEEE Transactions on Robotics and Automation,,,Oct 1996
"Antonia, S., J. J. Mule, and J. S. Weber",Current developments of immunotherapy in the clinic,Curr Opin Immunol,,,2004
"Baldwin, A. S., Jr.",The nf-kappa b and i kappa b proteins: New discoveries and insights.,Annu Rev Immunol,,,1996
"Banchereau, J., F. Briere, C. Caux, J. Davoust, S. Lebecque, Y. J. Liu, B. Pulendran, and K. Palucka",Immunobiology of dendritic cells.,Annu Rev Immunol,,,2000
"Bellas, R. E., J. S. Lee, and G. E. Sonenshein",Expression ofa constitutive nf-kappa b-like activity is essential for proliferation of cultured bovine vascular smooth muscle cells.,J Clin Invest,,,1995
